time(s),dP2(Pa)
1519510894.782105,  -11.390991
1519510894.810828,  -11.343529
1519510894.839383,  -11.296066
1519510894.867932,  -11.319798
1519510894.896489,  -11.201141
1519510894.925043,  -11.272335
1519510894.953603,  -11.272335
1519510894.982158,  -11.248604
1519510895.010723,  -11.319798
1519510895.039280,  -11.224873
1519510895.067849,  -11.248604
1519510895.096430,  -11.272335
1519510895.124989,  -11.248604
1519510895.153548,  -11.272335
1519510895.182103,  -11.201141
1519510895.210670,  -11.248604
1519510895.239228,  -11.153679
1519510895.267785,  -11.248604
1519510895.296359,  -11.319798
1519510895.324920,  -11.296066
1519510895.353473,  -11.343529
1519510895.382011,  -11.248604
1519510895.410555,  -11.319798
1519510895.439096,  -11.248604
1519510895.467658,  -11.201141
1519510895.496204,  -11.296066
1519510895.524751,  -11.319798
1519510895.553303,  -11.319798
1519510895.581850,  -11.296066
1519510895.610397,  -11.296066
1519510895.638954,  -11.272335
1519510895.667511,  -11.224873
1519510895.696071,  -11.224873
1519510895.724618,  -11.296066
1519510895.753175,  -11.272335
1519510895.781714,  -11.272335
1519510895.810275,  -11.296066
1519510895.838828,  -11.248604
1519510895.867363,  -11.296066
1519510895.895910,  -11.343529
1519510895.924461,  -11.319798
1519510895.953013,  -11.367260
1519510895.981559,  -11.272335
1519510896.010108,  -11.296066
1519510896.038659,  -11.343529
1519510896.067216,  -11.248604
1519510896.095774,  -11.201141
1519510896.124327,  -11.272335
1519510896.152876,  -11.272335
1519510896.181411,  -11.296066
1519510896.209955,  -11.296066
1519510896.238499,  -11.248604
1519510896.267077,  -11.224873
1519510896.295663,  -11.296066
1519510896.324253,  -11.201141
1519510896.352810,  -11.248604
1519510896.381345,  -11.177410
1519510896.409883,  -11.224873
1519510896.438416,  -11.224873
1519510896.466946,  -11.177410
1519510896.495486,  -11.296066
1519510896.524025,  -11.201141
1519510896.552576,  -11.153679
1519510896.581114,  -11.224873
1519510896.609654,  -11.296066
1519510896.638191,  -11.201141
1519510896.666729,  -11.248604
1519510896.695277,  -11.272335
1519510896.723815,  -11.224873
1519510896.752362,  -11.224873
1519510896.780922,  -11.272335
1519510896.809477,  -11.248604
1519510896.838030,  -11.224873
1519510896.866593,  -11.201141
1519510896.895144,  -11.177410
1519510896.923697,  -11.224873
1519510896.952231,  -11.224873
1519510896.980772,  -11.201141
1519510897.009306,  -11.177410
1519510897.037835,  -11.177410
1519510897.066374,  -11.224873
1519510897.094916,  -11.224873
1519510897.123473,  -11.248604
1519510897.152016,  -11.248604
1519510897.180564,  -11.201141
1519510897.209113,  -11.248604
1519510897.237658,  -11.248604
1519510897.266196,  -11.248604
1519510897.294738,  -11.224873
1519510897.323287,  -11.272335
1519510897.351837,  -11.129948
1519510897.380393,  -11.129948
1519510897.408941,  -11.177410
1519510897.437487,  -11.248604
1519510897.466035,  -11.153679
1519510897.494579,  -11.224873
1519510897.523129,  -11.153679
1519510897.551673,  -11.177410
1519510897.580219,  -11.177410
1519510897.608770,  -11.177410
1519510897.637322,  -11.129948
1519510897.665871,  -11.201141
1519510897.694415,  -11.153679
1519510897.722975,  -11.248604
1519510897.751546,  -11.129948
1519510897.780145,  -11.153679
1519510897.808723,  -11.224873
1519510897.837290,  -11.224873
1519510897.865847,  -11.177410
1519510897.894392,  -11.177410
1519510897.922952,  -11.177410
1519510897.951504,  -11.272335
1519510897.980063,  -11.272335
1519510898.008606,  -11.177410
1519510898.037158,  -11.201141
1519510898.065717,  -11.129948
1519510898.094274,  -11.319798
1519510898.122837,  -11.272335
1519510898.151382,  -11.248604
1519510898.179937,  -11.201141
1519510898.208492,  -11.224873
1519510898.237046,  -11.248604
1519510898.265601,  -11.248604
1519510898.294163,  -11.177410
1519510898.322721,  -11.296066
1519510898.351285,  -11.248604
1519510898.379835,  -11.201141
1519510898.408388,  -11.177410
1519510898.436934,  -11.201141
1519510898.465485,  -11.129948
1519510898.494036,  -11.201141
1519510898.522577,  -11.248604
1519510898.551113,  -11.153679
1519510898.579635,  -11.272335
1519510898.608174,  -11.201141
1519510898.636711,  -11.177410
1519510898.665252,  -11.272335
1519510898.693802,  -11.224873
1519510898.722354,  -11.201141
1519510898.750906,  -11.153679
1519510898.779459,  -11.177410
1519510898.808013,  -11.224873
1519510898.836563,  -11.177410
1519510898.865112,  -11.177410
1519510898.893664,  -11.177410
1519510898.922215,  -11.319798
1519510898.950769,  -11.272335
1519510898.979311,  -11.224873
1519510899.007857,  -11.343529
1519510899.036411,  -11.248604
1519510899.064966,  -11.177410
1519510899.093516,  -11.272335
1519510899.122062,  -11.224873
1519510899.150604,  -11.248604
1519510899.179154,  -11.272335
1519510899.207700,  -11.224873
1519510899.236256,  -11.201141
1519510899.264806,  -11.224873
1519510899.293368,  -11.177410
1519510899.321954,  -11.296066
1519510899.350514,  -11.224873
1519510899.379075,  -11.224873
1519510899.407618,  -11.224873
1519510899.436156,  -11.272335
1519510899.464693,  -11.248604
1519510899.493254,  -11.248604
1519510899.521807,  -11.248604
1519510899.550344,  -11.201141
1519510899.578878,  -11.272335
1519510899.607415,  -11.248604
1519510899.635945,  -11.224873
1519510899.664478,  -11.201141
1519510899.693018,  -11.224873
1519510899.721554,  -11.201141
1519510899.750088,  -11.201141
1519510899.778625,  -11.224873
1519510899.807170,  -11.129948
1519510899.835692,  -11.153679
1519510899.864226,  -11.201141
1519510899.892759,  -11.153679
1519510899.921291,  -11.224873
1519510899.949817,  -11.224873
1519510899.978347,  -11.153679
1519510900.006884,  -11.224873
1519510900.035423,  -11.129948
1519510900.063962,  -11.272335
1519510900.092517,  -11.224873
1519510900.121064,  -11.248604
1519510900.149606,  -11.272335
1519510900.178142,  -11.224873
1519510900.206687,  -11.248604
1519510900.235229,  -11.201141
1519510900.263776,  -11.248604
1519510900.292376,  -11.272335
1519510900.320916,  -11.319798
1519510900.349456,  -11.224873
1519510900.378003,  -11.201141
1519510900.406559,  -11.319798
1519510900.435112,  -11.177410
1519510900.463656,  -11.201141
1519510900.492200,  -11.248604
1519510900.520753,  -11.177410
1519510900.549293,  -11.248604
1519510900.577834,  -11.248604
1519510900.606369,  -11.224873
1519510900.634929,  -11.201141
1519510900.663502,  -11.201141
1519510900.692054,  -11.248604
1519510900.720615,  -11.319798
1519510900.749161,  -11.248604
1519510900.777767,  -11.153679
1519510900.806358,  -11.224873
1519510900.834948,  -11.224873
1519510900.863502,  -11.153679
1519510900.892049,  -11.367260
1519510900.920599,  -11.248604
1519510900.949160,  -11.272335
1519510900.977705,  -11.272335
1519510901.006243,  -11.296066
1519510901.034784,  -11.343529
1519510901.063340,  -11.343529
1519510901.091910,  -11.272335
1519510901.120473,  -11.343529
1519510901.149026,  -11.224873
1519510901.177593,  -11.153679
1519510901.206164,  -11.272335
1519510901.234749,  -11.272335
1519510901.263299,  -11.272335
1519510901.291846,  -11.272335
1519510901.320412,  -11.201141
1519510901.348964,  -11.248604
1519510901.377522,  -11.153679
1519510901.406074,  -11.224873
1519510901.434634,  -11.272335
1519510901.463194,  -11.296066
1519510901.491737,  -11.177410
1519510901.520282,  -11.201141
1519510901.548835,  -11.224873
1519510901.577388,  -11.201141
1519510901.605936,  -11.201141
1519510901.634490,  -11.248604
1519510901.663040,  -11.201141
1519510901.691593,  -11.319798
1519510901.720154,  -11.248604
1519510901.748718,  -11.248604
1519510901.777271,  -11.177410
1519510901.805823,  -11.201141
1519510901.834384,  -11.272335
1519510901.862942,  -11.201141
1519510901.891507,  -11.272335
1519510901.920069,  -11.224873
1519510901.948631,  -11.224873
1519510901.977182,  -11.248604
1519510902.005733,  -11.224873
1519510902.034285,  -11.201141
1519510902.062834,  -11.248604
1519510902.091382,  -11.272335
1519510902.119930,  -11.224873
1519510902.148478,  -11.272335
1519510902.177032,  -11.224873
