time(s),dP1(Pa)
1519510900.799507,  0.688206
1519510900.828728,  0.688206
1519510900.857941,  0.664474
1519510900.887152,  0.640743
1519510900.916362,  0.640743
1519510900.945572,  0.640743
1519510900.974779,  0.640743
1519510901.003989,  0.640743
1519510901.033189,  0.640743
1519510901.062412,  0.711937
1519510901.091619,  0.640743
1519510901.120825,  0.735668
1519510901.150021,  0.664474
1519510901.179221,  0.688206
1519510901.208427,  0.688206
1519510901.237639,  0.688206
1519510901.266917,  0.664474
1519510901.296134,  0.735668
1519510901.325348,  0.617012
1519510901.354558,  0.688206
1519510901.383776,  0.617012
1519510901.412991,  0.664474
1519510901.442202,  0.688206
1519510901.471428,  0.688206
1519510901.500648,  0.688206
1519510901.529857,  0.688206
1519510901.559050,  0.759399
1519510901.588256,  0.688206
1519510901.617456,  0.664474
1519510901.646656,  0.711937
1519510901.675859,  0.688206
1519510901.705065,  0.664474
1519510901.734264,  0.735668
1519510901.763464,  0.711937
1519510901.792665,  0.688206
1519510901.821861,  0.711937
1519510901.851067,  0.664474
1519510901.880265,  0.617012
1519510901.909469,  0.640743
1519510901.938675,  0.688206
1519510901.967877,  0.759399
1519510901.997073,  0.711937
1519510902.026276,  0.688206
1519510902.055476,  0.759399
1519510902.084681,  0.688206
1519510902.113891,  0.711937
1519510902.143099,  0.688206
1519510902.172370,  0.640743
1519510902.201569,  0.688206
1519510902.230783,  0.711937
1519510902.259978,  0.617012
1519510902.289229,  0.640743
1519510902.318461,  0.664474
1519510902.347665,  0.688206
1519510902.376875,  0.688206
1519510902.406073,  0.640743
1519510902.435271,  0.688206
1519510902.464471,  0.688206
1519510902.493670,  0.688206
1519510902.522896,  0.711937
1519510902.552088,  0.688206
1519510902.581292,  0.664474
1519510902.610491,  0.640743
1519510902.639693,  0.759399
1519510902.668893,  0.711937
1519510902.698100,  0.664474
1519510902.727327,  0.688206
1519510902.756527,  0.711937
1519510902.785723,  0.688206
1519510902.814917,  0.688206
1519510902.844119,  0.711937
1519510902.873324,  0.688206
1519510902.902530,  0.640743
1519510902.931716,  0.688206
1519510902.960928,  0.735668
1519510902.990129,  0.711937
1519510903.019324,  0.711937
1519510903.048526,  0.593281
1519510903.077730,  0.640743
1519510903.106939,  0.711937
1519510903.136139,  0.688206
1519510903.165338,  0.688206
1519510903.194536,  0.664474
1519510903.223736,  0.711937
1519510903.252939,  0.688206
1519510903.282140,  0.711937
1519510903.311372,  0.735668
1519510903.340576,  0.688206
1519510903.369783,  0.640743
1519510903.398981,  0.735668
1519510903.428200,  0.640743
1519510903.457437,  0.688206
1519510903.486665,  0.711937
1519510903.515913,  0.664474
1519510903.545147,  0.664474
1519510903.574387,  0.711937
1519510903.603622,  0.735668
1519510903.632843,  0.735668
1519510903.662045,  0.664474
1519510903.691263,  0.688206
1519510903.720498,  0.759399
1519510903.749725,  0.735668
1519510903.778986,  0.640743
1519510903.808239,  0.735668
1519510903.837452,  0.688206
1519510903.866663,  0.711937
1519510903.895881,  0.711937
1519510903.925097,  0.688206
1519510903.954300,  0.688206
1519510903.983514,  0.640743
1519510904.012746,  0.688206
1519510904.041967,  0.711937
1519510904.071184,  0.711937
1519510904.100404,  0.735668
1519510904.129624,  0.735668
1519510904.158837,  0.688206
1519510904.188058,  0.664474
1519510904.217281,  0.664474
1519510904.246495,  0.617012
1519510904.275722,  0.711937
1519510904.304947,  0.735668
1519510904.334166,  0.735668
1519510904.363382,  0.735668
1519510904.392607,  0.711937
1519510904.421824,  0.759399
1519510904.451057,  0.688206
1519510904.480282,  0.735668
1519510904.509507,  0.759399
1519510904.538733,  0.688206
1519510904.567953,  0.711937
1519510904.597173,  0.711937
1519510904.626390,  0.688206
1519510904.655616,  0.640743
1519510904.684836,  0.735668
1519510904.714088,  0.640743
1519510904.743346,  0.688206
1519510904.772597,  0.664474
1519510904.801821,  0.688206
1519510904.831049,  0.711937
1519510904.860262,  0.735668
1519510904.889493,  0.735668
1519510904.918712,  0.711937
1519510904.947934,  0.688206
1519510904.977153,  0.688206
1519510905.006374,  0.711937
1519510905.035588,  0.711937
1519510905.064790,  0.735668
1519510905.094003,  0.735668
1519510905.123214,  0.688206
1519510905.152438,  0.759399
1519510905.181651,  0.711937
1519510905.210893,  0.735668
1519510905.240114,  0.688206
1519510905.269334,  0.664474
1519510905.298558,  0.806862
1519510905.327805,  0.711937
1519510905.357019,  0.688206
1519510905.386247,  0.688206
1519510905.415467,  0.688206
1519510905.444675,  0.711937
1519510905.473894,  0.688206
1519510905.503114,  0.711937
1519510905.532342,  0.711937
1519510905.561555,  0.711937
1519510905.590781,  0.711937
1519510905.619998,  0.711937
1519510905.649230,  0.640743
1519510905.678456,  0.688206
1519510905.707674,  0.688206
