time(s)
1519511473.288703
1519511473.288873
1519511473.288925
1519511473.289327
1519511473.289383
1519511473.289454
1519511473.291678
1519511473.291723
1519511473.293749
1519511473.293873
1519511473.295867
1519511473.295912
1519511473.297943
1519511473.297997
1519511473.301589
1519511473.301635
1519511473.303642
1519511473.303696
1519511473.305757
1519511473.305802
1519511473.307833
1519511473.307887
1519511473.311486
1519511473.311531
1519511473.313540
1519511473.313596
1519511473.315656
1519511473.315710
1519511473.317744
1519511473.317798
1519511473.323600
1519511473.323643
1519511473.325662
1519511473.325716
1519511473.327764
1519511473.327818
1519511473.329852
1519511473.329906
1519511473.331980
1519511473.332025
1519511473.334053
1519511473.334108
1519511473.336154
1519511473.336209
1519511473.338243
1519511473.338297
1519511473.340751
1519511473.340795
1519511473.342801
1519511473.342856
1519511473.344916
1519511473.344970
1519511473.347005
1519511473.347059
1519511473.350744
1519511473.350789
1519511473.352798
1519511473.352853
1519511473.354926
1519511473.354973
1519511473.357000
1519511473.357055
1519511473.360806
1519511473.360849
1519511473.362859
1519511473.362916
1519511473.364980
1519511473.365025
1519511473.367055
1519511473.367110
1519511473.373868
1519511473.375890
1519511473.375945
1519511473.377995
1519511473.378048
1519511473.380143
1519511473.380188
1519511473.382246
1519511473.382290
1519511473.384324
1519511473.384379
1519511473.386438
1519511473.386482
1519511473.388539
1519511473.388585
1519511473.390926
1519511473.392973
1519511473.393036
1519511473.395088
1519511473.395143
1519511473.397176
1519511473.397232
1519511473.401236
1519511473.401279
1519511473.403289
1519511473.403344
1519511473.405395
1519511473.405450
1519511473.407484
1519511473.407538
1519511473.410900
1519511473.410945
1519511473.412955
1519511473.413013
1519511473.415085
1519511473.415132
1519511473.417159
1519511473.417215
1519511473.424180
1519511473.426236
1519511473.426291
1519511473.428339
1519511473.428412
1519511473.430426
1519511473.430480
1519511473.432554
1519511473.432598
1519511473.434634
1519511473.434688
1519511473.436737
1519511473.436791
1519511473.438824
1519511473.438882
1519511473.441811
1519511473.441855
1519511473.443878
1519511473.443932
1519511473.445980
1519511473.446034
1519511473.448064
1519511473.448119
1519511473.451884
1519511473.451929
1519511473.453950
1519511473.454007
1519511473.456065
1519511473.456110
1519511473.458140
1519511473.458194
1519511473.461989
1519511473.462033
1519511473.464052
1519511473.464107
1519511473.466167
1519511473.466211
1519511473.468245
1519511473.468299
1519511473.474767
1519511473.474811
1519511473.476827
1519511473.476882
1519511473.478932
1519511473.478975
1519511473.481008
1519511473.481061
1519511473.483140
1519511473.483183
1519511473.485211
1519511473.485269
1519511473.487314
1519511473.487384
1519511473.489400
1519511473.489457
1519511473.491529
1519511473.491572
1519511473.493598
1519511473.493653
1519511473.495713
1519511473.495767
1519511473.497802
1519511473.497856
1519511473.501167
1519511473.501213
1519511473.503220
1519511473.503275
1519511473.505340
1519511473.505386
1519511473.507412
1519511473.507471
1519511473.511161
1519511473.511205
1519511473.513216
1519511473.513270
1519511473.515349
1519511473.515403
1519511473.517436
1519511473.517490
1519511473.524397
1519511473.524444
1519511473.526435
1519511473.526489
1519511473.528551
1519511473.528597
1519511473.530624
1519511473.530678
1519511473.532758
1519511473.532804
1519511473.534827
1519511473.534882
1519511473.536941
1519511473.536985
1519511473.539014
1519511473.539068
1519511473.542288
1519511473.542333
1519511473.544353
1519511473.544409
1519511473.546455
1519511473.546510
1519511473.548567
1519511473.548613
1519511473.551413
1519511473.551456
1519511473.553467
1519511473.553521
1519511473.555596
1519511473.555641
1519511473.557667
1519511473.557721
1519511473.561517
1519511473.563570
1519511473.563627
1519511473.565689
1519511473.565733
1519511473.567764
1519511473.567821
1519511473.574478
1519511473.574522
1519511473.576531
1519511473.576586
1519511473.578635
1519511473.578689
1519511473.580789
1519511473.580833
1519511473.582897
1519511473.582941
1519511473.584965
1519511473.585020
1519511473.587067
1519511473.587121
1519511473.589154
1519511473.589208
1519511473.591425
1519511473.591470
1519511473.593485
1519511473.593541
1519511473.595601
1519511473.595657
1519511473.597687
1519511473.597741
1519511473.602213
1519511473.602257
1519511473.604277
1519511473.604331
1519511473.606389
1519511473.606436
1519511473.608465
1519511473.608520
1519511473.611396
1519511473.611439
1519511473.613452
1519511473.613508
1519511473.615578
1519511473.615625
1519511473.617673
1519511473.617718
1519511473.624503
1519511473.626554
1519511473.626608
1519511473.628669
1519511473.628713
1519511473.630745
1519511473.630800
1519511473.632876
1519511473.632920
1519511473.634954
1519511473.635008
1519511473.637068
1519511473.637113
1519511473.639143
1519511473.639197
1519511473.641800
1519511473.641845
1519511473.643863
1519511473.643919
1519511473.645978
1519511473.646023
1519511473.648115
1519511473.648160
1519511473.652321
1519511473.654373
1519511473.654428
1519511473.656476
1519511473.656531
1519511473.658564
1519511473.658619
1519511473.662524
1519511473.662568
1519511473.664590
1519511473.664644
1519511473.666692
1519511473.666747
1519511473.668779
1519511473.668834
1519511473.675237
1519511473.675281
1519511473.677292
1519511473.677346
1519511473.679393
1519511473.679446
1519511473.681541
1519511473.681585
1519511473.683652
1519511473.683696
1519511473.685714
1519511473.685770
1519511473.687825
1519511473.687869
1519511473.689901
1519511473.689955
1519511473.692031
1519511473.692075
1519511473.695581
1519511473.695846
1519511473.698110
1519511473.698159
1519511473.700167
1519511473.700222
1519511473.702307
1519511473.702353
1519511473.704375
1519511473.704431
1519511473.706483
1519511473.706530
1519511473.708576
1519511473.708621
1519511473.711787
1519511473.711831
1519511473.713927
1519511473.713983
1519511473.716038
1519511473.716093
1519511473.718126
1519511473.718181
1519511473.724917
1519511473.724962
1519511473.726967
1519511473.727021
1519511473.729065
1519511473.729119
1519511473.731150
1519511473.731205
1519511473.733275
1519511473.733320
1519511473.735350
1519511473.735406
1519511473.737481
1519511473.737526
1519511473.739579
1519511473.739623
1519511473.741973
1519511473.742018
1519511473.744044
1519511473.744101
1519511473.746150
1519511473.746195
1519511473.748221
1519511473.748278
1519511473.752548
1519511473.752591
1519511473.754603
1519511473.754658
1519511473.756716
1519511473.756761
1519511473.758794
1519511473.758847
1519511473.761654
1519511473.761698
1519511473.763707
1519511473.763809
1519511473.765831
1519511473.765875
1519511473.767912
1519511473.767969
1519511473.774702
1519511473.776754
1519511473.776808
1519511473.778869
1519511473.778913
1519511473.780944
1519511473.780999
1519511473.783077
1519511473.783123
1519511473.785161
1519511473.785215
1519511473.787274
