time(s),dP1(Pa)
1519511478.316782,  0.854324
1519511478.345917,  0.783131
1519511478.375069,  0.806862
1519511478.404215,  0.925518
1519511478.433349,  0.806862
1519511478.462489,  0.830593
1519511478.491625,  0.783131
1519511478.520766,  0.854324
1519511478.549911,  0.806862
1519511478.579056,  0.783131
1519511478.608198,  0.806862
1519511478.637343,  0.711937
1519511478.666478,  0.830593
1519511478.695610,  0.759399
1519511478.724737,  0.688206
1519511478.753874,  0.759399
1519511478.783013,  0.806862
1519511478.812159,  0.854324
1519511478.841281,  0.806862
1519511478.870418,  0.688206
1519511478.899555,  0.783131
1519511478.928684,  0.759399
1519511478.957833,  0.783131
1519511478.986987,  0.830593
1519511479.016128,  0.854324
1519511479.045298,  0.830593
1519511479.074437,  0.901787
1519511479.103579,  0.878056
1519511479.132716,  0.901787
1519511479.161857,  0.901787
1519511479.191000,  0.806862
1519511479.220148,  0.925518
1519511479.249285,  0.830593
1519511479.278417,  0.806862
1519511479.307546,  0.878056
1519511479.336681,  0.783131
1519511479.365819,  0.664474
1519511479.394953,  0.783131
1519511479.424099,  0.806862
1519511479.453243,  0.711937
1519511479.482392,  0.688206
1519511479.511526,  0.711937
1519511479.540664,  0.806862
1519511479.569823,  0.783131
1519511479.598959,  0.735668
1519511479.628098,  0.735668
1519511479.657238,  0.759399
1519511479.686379,  0.806862
1519511479.715536,  0.759399
1519511479.744702,  0.711937
1519511479.773863,  0.878056
1519511479.803002,  0.830593
1519511479.832148,  0.830593
1519511479.861278,  0.854324
1519511479.890435,  0.759399
1519511479.919571,  0.901787
1519511479.948709,  0.830593
1519511479.977849,  0.759399
1519511480.006979,  0.711937
1519511480.036114,  0.759399
1519511480.065273,  0.854324
1519511480.094436,  0.925518
1519511480.123597,  0.711937
1519511480.152787,  0.806862
1519511480.181953,  0.830593
1519511480.211127,  0.759399
1519511480.240294,  0.783131
1519511480.269437,  0.806862
1519511480.298589,  0.854324
1519511480.327742,  0.901787
1519511480.356902,  0.878056
1519511480.386066,  0.806862
1519511480.415224,  0.783131
1519511480.444386,  0.806862
1519511480.473528,  0.854324
1519511480.502687,  0.806862
1519511480.531824,  0.854324
1519511480.560967,  0.806862
1519511480.590117,  0.783131
1519511480.619283,  0.688206
1519511480.648434,  0.759399
1519511480.677569,  0.711937
1519511480.706709,  0.735668
1519511480.735850,  0.830593
1519511480.764997,  0.688206
1519511480.794133,  0.854324
1519511480.823267,  0.854324
1519511480.852433,  0.854324
1519511480.881571,  0.783131
1519511480.910712,  0.878056
1519511480.939875,  0.688206
1519511480.969018,  0.949249
1519511480.998163,  0.878056
1519511481.027315,  0.878056
1519511481.056460,  0.854324
1519511481.085599,  0.878056
1519511481.114738,  0.854324
1519511481.143888,  0.783131
1519511481.173030,  0.854324
1519511481.202218,  0.854324
1519511481.231375,  0.854324
1519511481.260538,  0.830593
1519511481.289688,  0.901787
1519511481.318834,  0.806862
1519511481.347974,  0.806862
1519511481.377139,  0.711937
1519511481.406296,  0.664474
1519511481.435439,  0.759399
1519511481.464575,  0.901787
1519511481.493710,  0.854324
1519511481.522826,  0.783131
1519511481.551957,  0.854324
1519511481.581105,  0.783131
1519511481.610252,  0.806862
1519511481.639368,  0.711937
1519511481.668488,  0.759399
1519511481.697627,  0.925518
1519511481.726748,  0.925518
1519511481.755877,  0.783131
1519511481.785010,  0.854324
1519511481.814148,  0.830593
1519511481.843271,  0.830593
1519511481.872413,  0.759399
1519511481.901536,  0.783131
1519511481.930661,  0.759399
1519511481.959774,  0.854324
1519511481.988896,  0.759399
1519511482.018032,  0.640743
1519511482.047173,  0.830593
1519511482.076283,  0.688206
1519511482.105399,  0.830593
1519511482.134519,  0.640743
1519511482.163632,  0.735668
1519511482.192755,  0.830593
1519511482.221873,  0.806862
1519511482.250991,  0.830593
1519511482.280129,  0.806862
1519511482.309257,  0.925518
1519511482.338387,  0.878056
1519511482.367526,  0.806862
1519511482.396664,  0.806862
1519511482.425796,  0.830593
1519511482.454941,  0.759399
1519511482.484086,  0.688206
1519511482.513216,  0.735668
1519511482.542355,  0.806862
1519511482.571485,  0.783131
1519511482.600612,  0.783131
1519511482.629748,  0.830593
1519511482.658885,  0.664474
1519511482.688015,  0.711937
1519511482.717156,  0.830593
1519511482.746292,  0.735668
1519511482.775409,  0.830593
1519511482.804560,  0.783131
1519511482.833690,  0.830593
1519511482.862834,  0.901787
1519511482.891962,  0.878056
1519511482.921101,  0.735668
1519511482.950226,  0.806862
1519511482.979356,  0.830593
1519511483.008492,  0.759399
1519511483.037630,  0.830593
1519511483.066762,  0.830593
1519511483.095906,  0.878056
1519511483.125052,  0.783131
1519511483.154189,  0.759399
1519511483.183328,  0.711937
1519511483.212482,  0.806862
1519511483.241631,  0.735668
1519511483.270785,  0.735668
1519511483.299929,  0.759399
1519511483.329063,  0.783131
1519511483.358206,  0.759399
1519511483.387371,  0.735668
1519511483.416545,  0.759399
1519511483.445722,  0.854324
1519511483.474909,  0.830593
1519511483.504135,  0.783131
1519511483.533299,  0.806862
1519511483.562478,  0.806862
1519511483.591633,  0.783131
1519511483.620796,  0.806862
1519511483.649952,  0.806862
1519511483.679116,  0.901787
1519511483.708268,  0.830593
1519511483.737425,  0.759399
1519511483.766583,  0.830593
1519511483.795741,  0.878056
1519511483.824904,  0.806862
1519511483.854059,  0.854324
1519511483.883212,  0.830593
1519511483.912367,  0.688206
1519511483.941522,  0.735668
1519511483.970685,  0.806862
1519511483.999845,  0.688206
1519511484.029000,  0.735668
1519511484.058167,  0.688206
1519511484.087337,  0.688206
1519511484.116524,  0.854324
1519511484.145696,  0.806862
1519511484.174866,  0.640743
1519511484.204036,  0.711937
1519511484.233254,  0.830593
1519511484.262419,  0.735668
1519511484.291580,  0.783131
1519511484.320760,  0.806862
1519511484.349927,  0.806862
1519511484.379089,  0.925518
1519511484.408251,  0.878056
1519511484.437413,  0.806862
1519511484.466552,  0.854324
1519511484.495712,  0.830593
1519511484.524889,  0.830593
1519511484.554066,  0.806862
1519511484.583226,  0.806862
1519511484.612410,  0.783131
1519511484.641549,  0.759399
1519511484.670680,  0.735668
1519511484.699813,  0.759399
1519511484.728971,  0.878056
1519511484.758127,  0.806862
1519511484.787284,  0.806862
1519511484.816454,  0.854324
1519511484.845613,  0.854324
1519511484.874773,  0.830593
1519511484.903905,  0.854324
1519511484.933034,  0.830593
1519511484.962183,  0.854324
1519511484.991313,  0.854324
1519511485.020441,  0.783131
1519511485.049570,  0.854324
1519511485.078702,  0.783131
1519511485.107834,  0.830593
1519511485.136970,  0.878056
1519511485.166096,  0.783131
1519511485.195225,  0.878056
1519511485.224371,  0.925518
1519511485.253526,  0.640743
1519511485.282659,  0.830593
1519511485.311790,  0.759399
1519511485.340924,  0.474625
1519511485.370060,  0.593281
1519511485.399192,  0.711937
1519511485.428328,  0.617012
1519511485.457470,  0.830593
1519511485.486606,  0.688206
1519511485.515745,  0.545818
1519511485.544887,  0.783131
1519511485.574018,  0.759399
1519511485.603162,  0.593281
1519511485.632310,  0.901787
1519511485.661450,  0.830593
1519511485.690585,  0.925518
1519511485.719729,  0.901787
1519511485.748910,  0.925518
1519511485.778069,  0.759399
1519511485.807224,  0.783131
1519511485.836379,  0.830593
1519511485.865545,  0.806862
1519511485.894697,  0.688206
1519511485.923856,  0.617012
1519511485.953044,  0.617012
1519511485.982205,  0.569550
1519511486.011351,  0.617012
1519511486.040510,  0.593281
1519511486.069665,  0.450893
1519511486.098819,  0.664474
1519511486.127970,  0.569550
1519511486.157121,  0.593281
1519511486.186270,  0.569550
1519511486.215419,  0.427162
1519511486.244586,  0.711937
1519511486.273732,  0.735668
1519511486.302871,  0.759399
1519511486.332024,  0.759399
1519511486.361156,  0.830593
1519511486.390294,  0.759399
1519511486.419428,  0.735668
1519511486.448571,  0.783131
1519511486.477708,  0.806862
1519511486.506843,  0.759399
1519511486.535997,  0.664474
1519511486.565140,  0.688206
1519511486.594272,  0.688206
1519511486.623408,  0.830593
1519511486.652557,  0.830593
1519511486.681702,  0.474625
1519511486.710831,  0.617012
1519511486.739986,  0.759399
1519511486.769126,  0.522087
1519511486.798261,  0.830593
1519511486.827399,  0.640743
1519511486.856544,  0.522087
1519511486.885677,  0.806862
1519511486.914806,  0.735668
1519511486.943949,  0.688206
1519511486.973094,  0.878056
1519511487.002215,  0.996712
1519511487.031345,  0.854324
1519511487.060484,  0.806862
1519511487.089633,  0.878056
1519511487.118765,  0.901787
1519511487.147902,  0.854324
1519511487.177040,  0.830593
1519511487.206217,  0.759399
1519511487.235378,  0.640743
1519511487.264526,  0.711937
1519511487.293658,  0.640743
1519511487.322809,  0.545818
1519511487.351943,  0.735668
1519511487.381091,  0.688206
1519511487.410228,  0.688206
1519511487.439369,  0.759399
1519511487.468528,  0.569550
1519511487.497674,  0.640743
1519511487.526810,  0.759399
1519511487.555961,  0.664474
1519511487.585117,  0.806862
1519511487.614269,  0.878056
1519511487.643420,  0.901787
1519511487.672561,  0.830593
1519511487.701697,  0.925518
1519511487.730829,  0.854324
1519511487.759966,  0.830593
1519511487.789106,  0.830593
1519511487.818247,  0.854324
1519511487.847394,  0.735668
1519511487.876552,  0.830593
1519511487.905687,  0.878056
1519511487.934832,  0.783131
1519511487.963977,  0.830593
1519511487.993116,  0.783131
1519511488.022259,  0.759399
1519511488.051396,  0.711937
1519511488.080531,  0.711937
1519511488.109669,  0.640743
1519511488.138799,  0.806862
1519511488.167937,  0.783131
1519511488.197080,  0.711937
1519511488.226224,  0.783131
1519511488.255350,  0.759399
1519511488.284489,  0.783131
1519511488.313644,  0.854324
1519511488.342771,  0.854324
1519511488.371913,  0.830593
1519511488.401069,  0.759399
1519511488.430208,  0.878056
1519511488.459352,  0.830593
1519511488.488485,  0.830593
1519511488.517619,  0.949249
1519511488.546748,  0.901787
1519511488.575886,  0.806862
1519511488.605021,  0.783131
1519511488.634162,  0.640743
1519511488.663302,  0.711937
1519511488.692447,  0.806862
1519511488.721588,  0.759399
1519511488.750735,  0.878056
1519511488.779866,  0.830593
1519511488.809011,  0.925518
1519511488.838147,  0.878056
1519511488.867285,  0.878056
1519511488.896423,  0.949249
1519511488.925566,  0.996712
1519511488.954714,  0.996712
1519511488.983859,  0.878056
1519511489.013001,  0.806862
1519511489.042145,  0.759399
1519511489.071274,  0.806862
1519511489.100423,  0.688206
1519511489.129562,  0.711937
1519511489.158711,  0.830593
1519511489.187870,  0.617012
1519511489.217038,  0.759399
1519511489.246209,  0.878056
1519511489.275350,  0.688206
1519511489.304496,  0.735668
1519511489.333640,  0.783131
1519511489.362783,  0.522087
1519511489.391922,  0.593281
1519511489.421057,  0.498356
1519511489.450188,  0.593281
1519511489.479330,  0.711937
1519511489.508465,  0.759399
1519511489.537603,  0.640743
1519511489.566735,  0.901787
1519511489.595867,  0.854324
1519511489.625015,  0.854324
1519511489.654157,  1.115368
1519511489.683335,  1.139099
1519511489.712497,  1.091637
1519511489.741642,  0.878056
1519511489.770787,  0.806862
1519511489.799944,  0.664474
1519511489.829099,  0.664474
1519511489.858252,  0.759399
1519511489.887409,  0.664474
1519511489.916577,  0.569550
1519511489.945736,  0.617012
1519511489.974897,  0.355968
1519511490.004060,  0.403431
1519511490.033212,  0.664474
1519511490.062358,  0.617012
1519511490.091511,  0.498356
1519511490.120654,  0.593281
1519511490.149805,  0.522087
1519511490.178962,  0.593281
1519511490.208110,  0.735668
1519511490.237277,  0.830593
1519511490.266429,  0.854324
1519511490.295583,  0.735668
1519511490.324736,  0.735668
1519511490.353899,  0.806862
1519511490.383042,  0.830593
1519511490.412207,  0.783131
1519511490.441362,  0.806862
1519511490.470506,  0.806862
1519511490.499650,  0.806862
1519511490.528799,  0.854324
1519511490.557936,  0.854324
1519511490.587081,  0.806862
1519511490.616236,  0.474625
1519511490.645389,  0.617012
1519511490.674531,  0.498356
1519511490.703680,  0.498356
1519511490.732821,  0.593281
1519511490.761961,  0.711937
1519511490.791103,  0.640743
1519511490.820244,  0.688206
