time(s),dP2(Pa)
1519511461.997797,  -11.058754
1519511462.026509,  -11.106216
1519511462.055058,  -11.177410
1519511462.083584,  -11.129948
1519511462.112132,  -10.940098
1519511462.140621,  -10.987560
1519511462.169137,  -11.011292
1519511462.197659,  -11.011292
1519511462.226173,  -10.963829
1519511462.254677,  -11.035023
1519511462.283174,  -11.035023
1519511462.311670,  -11.035023
1519511462.340170,  -11.035023
1519511462.368662,  -11.153679
1519511462.397153,  -11.129948
1519511462.425649,  -11.011292
1519511462.454154,  -11.129948
1519511462.482662,  -11.082485
1519511462.511179,  -11.082485
1519511462.539703,  -11.129948
1519511462.568211,  -11.177410
1519511462.596701,  -11.035023
1519511462.625204,  -11.177410
1519511462.653704,  -11.106216
1519511462.682206,  -11.129948
1519511462.710720,  -11.058754
1519511462.739278,  -11.035023
1519511462.767839,  -11.224873
1519511462.796402,  -11.011292
1519511462.824947,  -10.916367
1519511462.853491,  -11.153679
1519511462.882035,  -10.963829
1519511462.910575,  -11.011292
1519511462.939136,  -11.058754
1519511462.967691,  -11.058754
1519511462.996244,  -11.011292
1519511463.024815,  -11.011292
1519511463.053358,  -11.058754
1519511463.081905,  -11.058754
1519511463.110445,  -10.892635
1519511463.138987,  -11.058754
1519511463.167536,  -11.058754
1519511463.196108,  -10.987560
1519511463.224698,  -11.129948
1519511463.253242,  -11.177410
1519511463.281776,  -11.106216
1519511463.310316,  -10.987560
1519511463.338854,  -11.818153
1519511463.367399,  -11.390991
1519511463.395947,  -11.272335
1519511463.424496,  -11.058754
1519511463.453039,  -11.272335
1519511463.481586,  -11.343529
1519511463.510130,  -11.248604
1519511463.538677,  -11.011292
1519511463.567219,  -10.916367
1519511463.595761,  -10.797710
1519511463.624310,  -10.916367
1519511463.652852,  -10.655323
1519511463.681394,  -10.631592
1519511463.709943,  -10.536667
1519511463.738499,  -10.489204
1519511463.767065,  -10.512936
1519511463.795636,  -10.394279
1519511463.824194,  -10.418011
1519511463.852766,  -10.489204
1519511463.881324,  -10.418011
1519511463.909885,  -10.726517
1519511463.938443,  -10.845173
1519511463.967013,  -10.536667
1519511463.995578,  -10.441742
1519511464.024153,  -11.058754
1519511464.052713,  -11.224873
1519511464.081282,  -11.296066
1519511464.109849,  -10.868904
1519511464.138416,  -11.011292
1519511464.166979,  -11.224873
1519511464.195560,  -12.174122
1519511464.224172,  -11.129948
1519511464.252768,  -10.987560
1519511464.281357,  -11.153679
1519511464.309922,  -12.126659
1519511464.338493,  -12.126659
1519511464.367058,  -11.865616
1519511464.395625,  -10.987560
1519511464.424202,  -11.106216
1519511464.452759,  -11.414722
1519511464.481309,  -13.313221
1519511464.509861,  -11.628304
1519511464.538421,  -11.296066
1519511464.566975,  -11.628304
1519511464.595532,  -13.123371
1519511464.624092,  -12.743671
1519511464.652642,  -12.506359
1519511464.681195,  -11.343529
1519511464.709749,  -11.818153
1519511464.738328,  -12.174122
1519511464.766874,  -13.574265
1519511464.795409,  -11.367260
1519511464.823959,  -10.679054
1519511464.852524,  -11.248604
1519511464.881094,  -11.984272
1519511464.909640,  -11.414722
1519511464.938181,  -11.224873
1519511464.966714,  -10.821442
1519511464.995266,  -10.963829
1519511465.023864,  -11.011292
1519511465.052398,  -11.794422
1519511465.080935,  -10.750248
1519511465.109473,  -10.750248
